Date,price,market_cap,total_volume,r_price,d_r_price,Event,Positive Event,Negative Event,Positive Event Days Elapsed
2013-05-01,117.0,1298951550.0,0.0,-0.1453206003789864,-0.09726980777743303,0,0,0,1
2013-05-02,103.43,1148667722.0,0.0,-0.1232788794080438,0.02204172097094255,0,0,0,2
2013-05-03,91.01,1011066494.0,0.0,-0.1279256648004479,-0.00464678539240411,0,0,0,3
2013-05-04,111.25,1236351844.0,0.0,0.2008105304570852,0.3287361952575331,0,0,0,4
2013-05-05,116.79,1298377788.0,0.0,0.04859752924412448,-0.1522130012129607,0,0,0,5
2013-05-06,118.33,1315992304.0,0.0,0.01309988110599346,-0.03549764813813103,0,0,0,6
2013-05-07,106.4,1183766500.0,0.0,-0.1062717544889233,-0.1193716355949168,0,0,0,7
2013-05-08,112.64,1253655040.0,0.0,0.05699131550218817,0.1632630699911115,0,0,0,8
2013-05-09,113.0,1258130700.0,0.0,0.003190926302608278,-0.05380038919957989,0,0,0,9
2013-05-10,118.78,1322989457.0,0.0,0.04988522387537361,0.04669429757276534,0,0,0,10
2013-05-11,113.01,1259239352.0,0.0,-0.04979673221565471,-0.09968195609102831,0,0,0,11
2013-05-12,114.713,1278708679.0,0.0,0.01495704648646697,0.06475377870212168,0,0,0,12
2013-05-13,117.18,1306721052.0,0.0,0.02127785725811608,0.006320810771649116,0,0,0,13
2013-05-14,114.5,1277278988.0,0.0,-0.02313639112234825,-0.04441424838046433,0,0,0,14
2013-05-15,114.156,1273849681.0,0.0,-0.003008888981974034,0.02012750214037421,0,0,0,15
2013-05-16,115.5,1289277412.0,0.0,0.01170459594952794,0.01471348493150198,0,0,0,16
2013-05-17,123.1,1374605382.0,0.0,0.06372650322855955,0.05202190727903161,0,0,0,17
2013-05-18,123.88,1383755085.0,0.0,0.006316321914594215,-0.05741018131396534,0,0,0,18
2013-05-19,120.501,1346499262.0,0.0,-0.02765530345353999,-0.0339716253681342,0,0,0,19
2013-05-20,122.58,1370131821.0,0.0,0.01710582640612376,0.04476112985966375,0,0,0,20
2013-05-21,122.9,1374154118.0,0.0,0.00260713851440359,-0.01449868789172017,0,0,0,21
2013-05-22,123.0,1375791900.0,0.0,0.000813338800428281,-0.001793799713975309,0,0,0,22
2013-05-23,125.748,1407041528.0,0.0,0.02209554890838744,0.02128221010795917,0,0,0,23
2013-05-24,131.7,1474180657.0,0.0,0.04624670446843032,0.02415115556004288,0,0,0,24
2013-05-25,130.77,1464316690.0,0.0,-0.007086553830824242,-0.05333325829925456,0,0,0,25
2013-05-26,134.6,1507769010.0,0.0,0.02886736229221633,0.03595391612304057,0,0,0,26
2013-05-27,128.985,1445444606.0,0.0,-0.04261129867965775,-0.07147866097187408,0,0,0,27
2013-05-28,129.179,1448115967.0,0.0,0.001502920906995401,0.04411421958665315,0,0,0,28
2013-05-29,132.13,1481781795.0,0.0,0.02258724698816029,0.02108432608116489,0,0,0,29
2013-05-30,127.401,1429308634.0,0.0,-0.03644669402530448,-0.05903394101346477,0,0,0,30
2013-05-31,127.98,1436386730.0,0.0,0.004534409310493338,0.04098110333579781,0,0,0,31
2013-06-01,129.09,1449499974.0,0.0,0.008635833807303666,0.004101424496810327,0,0,0,32
2013-06-02,121.3,1362684200.0,0.0,-0.06224301956861359,-0.07087885337591726,0,0,0,33
2013-06-03,121.16,1361765704.0,0.0,-0.001154829790967914,0.06108818977764568,0,0,0,34
2013-06-05,121.309,1364113640.0,0.0,0.001229023246314759,0.002383853037282673,0,0,0,35
2013-06-06,121.714,1369233814.0,0.0,0.003333020948055509,0.00210399770174075,0,0,0,36
2013-06-07,119.0,1339234925.0,0.0,-0.02255053724187742,-0.02588355818993293,0,0,0,37
2013-06-08,110.09,1239395972.0,0.0,-0.07782528002921762,-0.05527474278734021,1,0,1,38
2013-06-09,108.401,1220874393.0,0.0,-0.01546089902706602,0.0623643810021516,0,0,0,39
2013-06-10,99.7497,1123844958.0,0.0,-0.08317326580859255,-0.06771236678152652,0,0,0,40
2013-06-11,105.99,1194605341.0,0.0,0.06068070179251013,0.1438539676011027,0,0,0,41
2013-06-12,108.9,1227904672.0,0.0,0.0270852798997513,-0.03359542189275883,0,0,0,42
2013-06-13,108.4,1222819750.0,0.0,-0.004601940933368962,-0.03168722083312026,0,0,0,43
2013-06-14,102.769,1159766150.0,0.0,-0.05334433788199479,-0.04874239694862582,0,0,0,44
2013-06-15,98.399,1110902570.0,0.0,-0.043453109718609,0.009891228163385786,0,0,0,45
2013-06-16,99.99,1129287060.0,0.0,0.01603953958281582,0.05949264930142482,0,0,0,46
2013-06-17,100.42,1134610433.0,0.0,0.004291209618801417,-0.0117483299640144,0,0,0,47
2013-06-18,102.0,1152834600.0,0.0,0.01561142267771172,0.0113202130589103,0,0,0,48
2013-06-19,106.55,1204638318.0,0.0,0.04364154526035512,0.0280301225826434,0,0,0,49
2013-06-20,107.9,1220273470.0,0.0,0.01259051371946291,-0.03105103154089221,0,0,0,50
2013-06-21,110.91,1254733148.0,0.0,0.02751418935256111,0.0149236756330982,0,0,0,51
2013-06-22,109.015,1233750009.0,0.0,-0.01723357417663875,-0.04474776352919986,0,0,0,52
