Date,Positive Event Days Elapsed,Probability,Distribution,Parameters
2013-05-01,1,0.0,None,None
2013-05-02,2,0.0,None,None
2013-05-03,3,0.0,None,None
2013-05-04,4,0.0,None,None
2013-05-05,5,0.0,None,None
2013-05-06,6,0.0,None,None
2013-05-07,7,0.0,None,None
2013-05-08,8,0.0,None,None
2013-05-09,9,0.0,None,None
2013-05-10,10,0.0,None,None
2013-05-11,11,0.0,None,None
2013-05-12,12,0.0,None,None
2013-05-13,13,0.0,None,None
2013-05-14,14,0.0,None,None
2013-05-15,15,0.0,None,None
2013-05-16,16,0.0,None,None
2013-05-17,17,0.0,None,None
2013-05-18,18,0.0,None,None
2013-05-19,19,0.0,None,None
2013-05-20,20,0.0,None,None
2013-05-21,21,0.0,None,None
2013-05-22,22,0.0,None,None
2013-05-23,23,0.0,None,None
2013-05-24,24,0.0,None,None
2013-05-25,25,0.0,None,None
2013-05-26,26,0.0,None,None
2013-05-27,27,0.0,None,None
2013-05-28,28,0.0,None,None
2013-05-29,29,0.0,None,None
2013-05-30,30,0.0,None,None
2013-05-31,31,0.0,None,None
2013-06-01,32,0.0,None,None
2013-06-02,33,0.0,None,None
2013-06-03,34,0.0,None,None
2013-06-05,35,0.0,None,None
2013-06-06,36,0.0,None,None
2013-06-07,37,0.0,None,None
2013-06-08,38,0.0,None,None
2013-06-09,39,0.0,None,None
2013-06-10,40,0.0,None,None
2013-06-11,41,0.0,None,None
2013-06-12,42,0.0,None,None
2013-06-13,43,0.0,None,None
2013-06-14,44,0.0,None,None
2013-06-15,45,0.0,None,None
2013-06-16,46,0.0,None,None
2013-06-17,47,0.0,None,None
2013-06-18,48,0.0,None,None
2013-06-19,49,0.0,None,None
2013-06-20,50,0.0,None,None
2013-06-21,51,0.0,None,None
2013-06-22,52,0.0,None,None
2013-06-23,53,0.0,None,None
2013-06-24,54,0.0,None,None
2013-06-25,55,0.0,None,None
2013-06-26,56,0.0,None,None
2013-06-27,57,0.0,None,None
2013-06-28,58,0.0,None,None
2013-06-29,59,0.0,None,None
2013-06-30,60,0.0,None,None
2013-07-01,61,0.0,None,None
2013-07-02,62,0.0,None,None
2013-07-03,63,0.0,None,None
2013-07-04,64,0.0,None,None
2013-07-05,65,0.0,None,None
2013-07-06,66,0.0,None,None
2013-07-07,67,0.0,None,None
2013-07-08,68,0.0,None,None
2013-07-09,1,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-10,2,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-11,3,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-12,4,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-13,5,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-14,6,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-15,7,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-16,8,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-17,9,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-18,10,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-19,11,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-07-20,12,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
