Date,r_price,Event,Positive Event,Negative Event
2013-05-01,-0.1453206003789864,0,0,0
2013-05-02,-0.1232788794080438,0,0,0
2013-05-03,-0.1279256648004479,0,0,0
2013-05-04,0.2008105304570852,0,0,0
2013-05-05,0.04859752924412448,0,0,0
2013-05-06,0.01309988110599346,0,0,0
2013-05-07,-0.1062717544889233,0,0,0
2013-05-08,0.05699131550218817,0,0,0
2013-05-09,0.003190926302608278,0,0,0
2013-05-10,0.04988522387537361,0,0,0
2013-05-11,-0.04979673221565471,0,0,0
2013-05-12,0.01495704648646697,0,0,0
2013-05-13,0.02127785725811608,0,0,0
2013-05-14,-0.02313639112234825,0,0,0
2013-05-15,-0.003008888981974034,0,0,0
2013-05-16,0.01170459594952794,0,0,0
2013-05-17,0.06372650322855955,0,0,0
2013-05-18,0.006316321914594215,0,0,0
2013-05-19,-0.02765530345353999,0,0,0
2013-05-20,0.01710582640612376,0,0,0
2013-05-21,0.00260713851440359,0,0,0
2013-05-22,0.000813338800428281,0,0,0
2013-05-23,0.02209554890838744,0,0,0
2013-05-24,0.04624670446843032,0,0,0
2013-05-25,-0.007086553830824242,0,0,0
2013-05-26,0.02886736229221633,0,0,0
2013-05-27,-0.04261129867965775,0,0,0
2013-05-28,0.001502920906995401,0,0,0
2013-05-29,0.02258724698816029,0,0,0
2013-05-30,-0.03644669402530448,0,0,0
2013-05-31,0.004534409310493338,0,0,0
2013-06-01,0.008635833807303666,0,0,0
2013-06-02,-0.06224301956861359,0,0,0
2013-06-03,-0.001154829790967914,0,0,0
2013-06-05,0.001229023246314759,0,0,0
2013-06-06,0.003333020948055509,0,0,0
2013-06-07,-0.02255053724187742,0,0,0
2013-06-08,-0.07782528002921762,0,0,0
2013-06-09,-0.01546089902706602,0,0,0
2013-06-10,-0.08317326580859255,0,0,0
2013-06-11,0.06068070179251013,0,0,0
2013-06-12,0.0270852798997513,0,0,0
2013-06-13,-0.004601940933368962,0,0,0
2013-06-14,-0.05334433788199479,0,0,0
2013-06-15,-0.043453109718609,0,0,0
2013-06-16,0.01603953958281582,0,0,0
2013-06-17,0.004291209618801417,0,0,0
2013-06-18,0.01561142267771172,0,0,0
2013-06-19,0.04364154526035512,0,0,0
2013-06-20,0.01259051371946291,0,0,0
2013-06-21,0.02751418935256111,0,0,0
2013-06-22,-0.01723357417663875,0,0,0
2013-06-23,-0.01632292963188517,0,0,0
2013-06-24,0.006968669316093436,0,0,0
2013-06-25,-0.0528246807863284,0,0,0
2013-06-26,0.01210877631733716,0,0,0
2013-06-27,-0.002907077056626652,0,0,0
2013-06-28,-0.03674385274534323,0,0,0
2013-06-29,-0.06561100720983985,0,0,0
2013-06-30,0.02180568881515823,0,0,0
2013-07-01,0.02193432834472184,0,0,0
2013-07-02,-0.08577769010386364,0,0,0
2013-07-03,0.01451053271441439,0,0,0
2013-07-04,-0.1417132485500159,0,0,0
2013-07-05,-0.004069181606725743,0,0,0
2013-07-06,-0.1461488857575466,0,0,0
2013-07-07,0.004034088393986158,0,0,0
2013-07-08,0.1295747245843863,1,1,0
2013-07-09,-0.01443230903942973,0,0,0
2013-07-10,0.007933988415180086,0,0,0
2013-07-11,0.1076306641923654,0,0,0
2013-07-12,0.08977141298014436,0,0,0
2013-07-13,-0.06316411604449557,0,0,0
2013-07-14,0.081920210168314,0,0,0
2013-07-15,-0.01666881088000829,0,0,0
2013-07-16,0.03451448436143422,0,0,0
2013-07-17,0.0171045016636876,0,0,0
2013-07-18,-0.01198919125435407,0,0,0
2013-07-19,-0.09668546044768737,0,0,0
2013-07-20,0.03088643150241219,0,0,0
2013-07-21,-0.02534804946249565,0,0,0
2013-07-22,0.01210387106731798,0,0,0
2013-07-23,0.0146671815205931,0,0,0
2013-07-24,0.03090382981060198,0,0,0
2013-07-25,-0.0005880312545172555,0,0,0
2013-07-26,0.02533000045161712,1,1,0
2013-07-27,-0.02951754466948484,0,0,0
2013-07-28,-0.001328833214380334,0,0,0
2013-07-29,0.04747883748124504,0,0,0
2013-07-30,0.02923198865584846,0,0,0
2013-07-31,0.08350770936244267,0,0,0
2013-08-01,-0.03795995305236263,0,0,0
2013-08-02,-0.04446459929413203,0,0,0
2013-08-03,0.02036015973769172,0,0,0
2013-08-04,0.01112401190890506,0,0,0
2013-08-05,0.01608207964769225,0,0,0
2013-08-06,-0.006770238806279076,0,0,0
2013-08-07,0.008551684122933906,0,0,0
2013-08-08,-0.04873770652896463,0,0,0
2013-08-09,0.01685301649455955,0,0,0
2013-08-10,-0.006695478896615924,0,0,0
2013-08-11,0.010267428439474,0,0,0
2013-08-12,0.01349625654401127,0,0,0
2013-08-13,0.008407229705612957,0,0,0
2013-08-14,0.05102880642127176,0,0,0
2013-08-15,0.002228278570756015,0,0,0
2013-08-16,-0.0180669395156522,0,0,0
2013-08-17,0.02581373931024188,0,0,0
2013-08-18,0.01461679629226858,0,0,0
2013-08-19,0.03758880135175158,0,0,0
2013-08-20,0.01435987263326055,0,0,0
2013-08-21,0.008346810989810763,0,0,0
2013-08-22,0.008106302765635353,0,0,0
2013-08-23,-0.02061112390410987,0,0,0
2013-08-24,0.003659960831487127,0,0,0
2013-08-25,0.01286934111972347,0,0,0
2013-08-26,0.0003278151152123757,0,0,0
2013-08-27,0.02931056377858416,0,0,0
2013-08-28,-0.02131247984683101,0,0,0
2013-08-29,0.00340826427468324,0,0,0
2013-08-30,0.04560638329359604,0,0,0
2013-08-31,0.06415144933091921,1,1,0
2013-09-01,0.00297177038915748,0,0,0
2013-09-02,-0.007263778578262587,0,0,0
2013-09-03,0.002475609244537746,0,0,0
2013-09-04,-0.01686751636418661,0,0,0
2013-09-05,-0.03960241456976709,0,0,0
2013-09-06,-0.02991358970179786,0,0,0
2013-09-07,-0.01921134887321736,0,0,0
2013-09-08,-0.01596775270696833,0,0,0
2013-09-09,0.037317462193841,0,0,0
2013-09-10,0.01085855346144011,0,0,0
2013-09-11,0.02983685076812122,0,0,0
2013-09-12,0.01933335878777478,1,1,0
2013-09-13,0.0061648355085315,0,0,0
2013-09-14,-0.02747508058489403,0,0,0
2013-09-15,-0.01102023856623151,0,0,0
2013-09-16,0.01170498770851951,0,0,0
2013-09-17,-0.001293808925104865,0,0,0
2013-09-18,0.005695424895511701,0,0,0
2013-09-19,-0.01395424678681347,0,0,0
2013-09-20,-0.01282861488345438,0,0,0
2013-09-21,-0.01402020224013705,0,0,0
2013-09-22,0.01246341824081478,0,0,0
2013-09-23,-0.01285788000286238,0,0,0
2013-09-24,-0.00506290140883776,0,0,0
2013-09-25,0.01495619818256531,0,0,0
2013-09-26,0.0002343658461571568,0,0,0
2013-09-27,0.02940256444730421,0,0,0
2013-09-28,0.01572820923786921,0,0,0
2013-09-29,0.04632314987294652,0,0,0
2013-09-30,-0.0634935393296589,0,0,0
2013-10-01,0.006813046792716104,0,0,0
2013-10-02,-0.003855025750042441,0,0,0
2013-10-03,-0.07035160780074691,0,0,0
2013-10-04,0.04130615453647158,0,0,0
2013-10-05,0.01016182192000263,0,0,0
2013-10-06,-0.01563443349886246,0,0,0
2013-10-07,0.006407773741775151,0,0,0
2013-10-08,-0.0209374039542652,0,0,0
2013-10-09,0.04037646098648755,0,0,0
2013-10-10,-0.009363795488433559,0,0,0
2013-10-11,0.004539342282052009,0,0,0
2013-10-12,0.03825479635083728,0,0,0
2013-10-13,0.0009600118892607189,0,0,0
2013-10-14,0.03624110193723556,0,0,0
2013-10-15,0.02398398888851958,0,0,0
2013-10-16,-0.001947826702798655,0,0,0
2013-10-17,0.01753219948472757,0,0,0
2013-10-18,0.03489546970912061,0,0,0
2013-10-19,0.1192649847636847,1,1,0
2013-10-20,0.008758668628239251,0,0,0
2013-10-21,0.05320704829493183,0,0,0
2013-10-22,0.06425941819329067,0,0,0
2013-10-23,0.06663634501202517,0,0,0
2013-10-24,-0.03935613193607335,0,0,0
2013-10-25,-0.1420180065018414,0,0,0
2013-10-26,0.03688102946124185,0,0,0
2013-10-27,0.05896661762057644,0,0,0
2013-10-28,0.04491202277481003,0,0,0
2013-10-29,0.02898897587642599,0,0,0
2013-10-30,-0.0009300277231212762,0,0,0
2013-10-31,-0.001568320258724232,0,0,0
2013-11-01,0.006745882745727265,0,0,0
2013-11-02,0.007909782838083539,0,0,0
2013-11-03,0.02651941550516873,0,0,0
2013-11-04,0.0630665039141344,0,0,0
2013-11-05,0.01904152430162628,0,0,0
2013-11-06,0.1231308346918205,0,0,0
2013-11-07,0.125163142954006,0,0,0
2013-11-08,0.1160865356435223,0,0,0
2013-11-09,0.07533777833477037,0,0,0
2013-11-10,-0.1343297958605471,0,0,0
2013-11-11,0.08435876714717418,0,0,0
2013-11-12,0.04290703118294716,0,0,0
2013-11-13,0.1283665926619247,0,0,0
2013-11-14,0.01148829992867625,0,0,0
2013-11-15,0.03678686107984006,0,0,0
2013-11-16,0.03076022780915356,0,0,0
2013-11-17,0.1101818684507857,0,0,0
2013-11-18,0.1734741408635462,1,1,0
2013-11-19,0.0561192021692614,0,0,0
2013-11-20,-0.08321886176642382,0,0,0
2013-11-21,0.1773742557439969,0,0,0
2013-11-22,0.07981706124685259,0,0,0
2013-11-23,0.1138438855567097,0,0,0
2013-11-24,-0.0693320645507843,0,0,0
2013-11-25,0.03678103205861157,0,0,0
2013-11-26,0.04903811489995057,0,0,0
2013-11-27,0.0930231882652538,0,0,0
2013-11-28,0.06864056194108012,0,0,0
2013-11-29,0.118114357611309,0,0,0
2013-11-30,0.02298601165550234,0,0,0
2013-12-01,-0.08711378548430226,0,0,0
2013-12-02,-0.05915783502166358,0,0,0
2013-12-03,0.1020141633362645,0,0,0
2013-12-04,0.03894825321640121,0,0,0
2013-12-05,-0.125669744843549,0,0,0
2013-12-06,0.03048974167840757,0,0,0
2013-12-07,-0.2277488080606098,1,0,1
2013-12-08,-0.08863162710457995,0,0,0
2013-12-09,0.1892034841551833,1,1,0
2013-12-10,0.03274706934832153,0,0,0
2013-12-11,-0.04485946581556585,0,0,0
2013-12-12,-0.01009497313912467,0,0,0
2013-12-13,0.02151662335015606,0,0,0
2013-12-14,-0.03432937742220991,0,0,0
2013-12-15,-0.01437051699103953,0,0,0
2013-12-16,-0.07970050885268415,0,0,0
2013-12-17,-0.1318763695241017,0,0,0
2013-12-18,-0.2122867742937082,0,0,0
2013-12-19,0.1921179988630928,0,0,0
2013-12-20,0.02392085429670033,0,0,0
2013-12-21,-0.1523901371063169,0,0,0
2013-12-22,0.0869456721761693,0,0,0
2013-12-23,-0.006975229280811517,0,0,0
2013-12-24,0.02173648982113056,0,0,0
2013-12-25,0.01324642303030663,0,0,0
2013-12-26,0.09391717561499341,0,0,0
2013-12-27,-0.000435712055692986,0,0,0
2013-12-28,0.006163975309706628,0,0,0
2013-12-29,-0.01684359541341386,0,0,0
2013-12-30,0.04580522155840518,0,0,0
2013-12-31,-0.007072762514542845,0,0,0
2014-01-01,0.01652148683599634,0,0,0
2014-01-02,0.00621970880646084,0,0,0
2014-01-03,0.06628207811936601,0,0,0
2014-01-04,0.02827115151040483,0,0,0
2014-01-05,0.0795080873725971,0,0,0
2014-01-06,0.01828921702314557,0,0,0
2014-01-07,-0.1248214597337344,0,0,0
2014-01-08,0.0141999719056075,0,0,0
2014-01-09,0.01769957709940086,0,0,0
2014-01-10,0.01166278897538976,0,0,0
2014-01-11,0.04796795226284377,0,0,0
2014-01-12,-0.04317233423198372,0,0,0
2014-01-13,-0.0310137768562007,0,0,0
2014-01-14,-0.003466331842868888,0,0,0
2014-01-15,0.02636612174432982,0,0,0
2014-01-16,-0.02644965246876876,0,0,0
2014-01-17,-0.03038613309630197,0,0,0
2014-01-18,0.0327937910848326,0,0,0
2014-01-19,-0.002180947967573513,0,0,0
2014-01-20,0.03629477869776353,0,0,0
2014-01-21,0.0004831140243040636,0,0,0
